CUST_ID,CUST_TYPE,BUSI_CODE,CONF_AMTS,GENDER,NET_CODE,RISK_LEV,CONF_YEAR,CONF_MONTH,CONF_DAY,AGE,TELL_PREFIX,COUNTY_PROV,COUNTY_CITY,COUNTY_DIST,FUND_CODE_FREQ,target
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0019463178382293034,1
369000590071,1,1,3.3364272676490016e-06,2.0,1,0.8,2024,6,7,0.27586206896551724,1987187,31,01,04,0.07807902955687322,0
369000590055,1,5,8.956851725232219e-08,1.0,1,0.6000000000000001,2024,6,7,0.8620689655172413,1389254,53,01,12,0.07807902955687322,0
369000520134,1,5,2.0152916381772493e-07,2.0,1,0.8,2024,6,7,0.2068965517241379,1598337,11,01,17,0.07807902955687322,0
369000040202,1,5,7.613323966447386e-07,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.003666319648757525,0
369000500158,1,5,5.374111035139332e-07,2.0,1,0.8,2024,6,7,0.3620689655172413,1383951,53,01,12,0.07807902955687322,0
369000450456,1,5,2.0152916381772493e-07,2.0,1,0.6000000000000001,2024,6,7,0.6206896551724137,1381550,43,01,05,0.07807902955687322,0
369000450500,1,5,2.127252284742652e-08,2.0,1,0.6000000000000001,2024,6,7,0.7413793103448276,1537235,43,05,02,0.07807902955687322,0
369000590054,1,5,8.956851725232219e-08,2.0,1,0.6000000000000001,2024,6,7,0.8275862068965516,1397471,53,01,12,0.07807902955687322,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.005476847870366179,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.006246322364549858,1
369001220039,2,2,0.022399643731011817,0.0,1,1.0,2024,6,7,0.3793103448275862,1367851,00,00,00,0.0010863169329651927,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0010863169329651927,1
369000550031,1,1,8.956851725232219e-08,1.0,1,0.8,2024,6,7,0.27586206896551724,1362147,31,01,15,0.001765265016068438,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0055221110759063954,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0038473724709183906,1
369000520134,1,5,2.0152916381772493e-07,2.0,1,0.8,2024,6,7,0.2068965517241379,1598337,11,01,17,0.001267369755126058,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.002263160277010818,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.002670529126872765,1
369000170047,1,5,0.0,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.011134748562893225,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.010184221246548681,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0003168424387815145,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0039831620875390395,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.004164214909699905,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.001901054632689087,1
369000170047,1,5,0.0,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.034943194677047026,0
369000210064,1,5,5.374111035139332e-07,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.034943194677047026,1
46748,1,5,8.956851725232219e-08,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.034943194677047026,0
369000460487,1,5,3.3588193969620824e-08,2.0,1,0.8,2024,6,7,0.48275862068965514,1399808,32,01,02,0.034943194677047026,0
369000240200,1,5,8.956851725232219e-08,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.002896845154573847,0
369000460457,1,5,1.4554884053502355e-07,2.0,1,0.8,2024,6,7,0.5172413793103448,1567553,37,06,86,0.034943194677047026,0
369000450456,1,5,3.1348981038312765e-07,2.0,1,0.6000000000000001,2024,6,7,0.6206896551724137,1381550,43,01,05,0.034943194677047026,0
369000520134,1,5,2.0152916381772493e-07,2.0,1,0.8,2024,6,7,0.2068965517241379,1598337,11,01,17,0.0014031593717467072,0
156588,1,5,5.374111035139332e-07,2.0,3,0.8,2024,6,7,0.8793103448275861,1567605,31,01,12,0.0024894763047119,0
369000320063,1,5,8.956851725232219e-08,2.0,1,0.8,2024,6,7,0.27586206896551724,1385096,31,01,05,0.00918843072466392,0
3998,1,5,1.097214336340947e-06,1.0,3,1.0,2024,6,7,0.4137931034482758,1388411,31,01,04,0.034943194677047026,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0009505273163445435,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0014484225772869236,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.00534105825374553,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0013126329606662744,1
369000000247,1,5,3.1348981038312765e-07,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.0023536866880912504,0
38,1,5,8.732930432101414e-07,1.0,1,1.0,2024,6,7,0.43103448275862066,1382090,31,01,01,0.022088444303625582,0
369000400005,1,5,1.097214336340947e-06,2.0,1,0.8,2024,6,7,0.27586206896551724,1373720,31,01,15,0.006880007242112887,0
369000360227,1,5,3.3588193969620824e-08,2.0,1,0.8,2024,6,7,0.1724137931034483,1360757,31,01,13,0.004028425293079256,0
369000170047,1,5,1.1196064656540277e-08,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.025121079074820078,0
369000460487,1,5,3.3588193969620824e-08,2.0,1,0.8,2024,6,7,0.48275862068965514,1399808,32,01,02,0.025121079074820078,0
